Dim1	Dim2	id	tsne	cancer
-12.3366923722651	0.608480144117229	TCGA-OR-A5JD-01A-11R-A29S-07	indegree	TCGA-ACC
1.48065288370026	-43.2911555359116	TCGA-OR-A5KO-01A-11R-A29S-07	indegree	TCGA-ACC
-21.7494288311439	-4.18157289593022	TCGA-OR-A5LA-01A-11R-A29S-07	indegree	TCGA-ACC
-20.4694736715016	1.14736490600104	TCGA-OR-A5LK-01A-11R-A29S-07	indegree	TCGA-ACC
-20.2727238576921	1.992288218915	TCGA-OR-A5JZ-01A-11R-A29S-07	indegree	TCGA-ACC
11.6393535829825	10.0588342527859	TCGA-OR-A5JO-01A-11R-A29S-07	indegree	TCGA-ACC
-21.8734515178142	-3.66879775502442	TCGA-OR-A5L9-01A-11R-A29S-07	indegree	TCGA-ACC
-15.801960107426	29.6632899726751	TCGA-OR-A5JB-01A-11R-A29S-07	indegree	TCGA-ACC
1.47527351660154	-42.850678685382	TCGA-OR-A5K9-01A-11R-A29S-07	indegree	TCGA-ACC
-6.64505672876717	7.29887736643641	TCGA-OR-A5J8-01A-11R-A29S-07	indegree	TCGA-ACC
-20.2624924614756	1.9195154735473	TCGA-OR-A5JT-01A-11R-A29S-07	indegree	TCGA-ACC
2.50892522753115	-42.3628921364389	TCGA-OR-A5JG-01A-11R-A29S-07	indegree	TCGA-ACC
-20.0722702141495	1.17592046571631	TCGA-OR-A5LH-01A-11R-A29S-07	indegree	TCGA-ACC
0.000785612229981846	-44.1457362005547	TCGA-P6-A5OF-01A-11R-A29S-07	indegree	TCGA-ACC
2.49994039777608	-42.964020737354	TCGA-OR-A5LJ-01A-11R-A29S-07	indegree	TCGA-ACC
-20.3235819557938	1.95617087376275	TCGA-OR-A5LP-01A-11R-A29S-07	indegree	TCGA-ACC
1.99436370714069	-42.1473405503341	TCGA-OR-A5KV-01A-11R-A29S-07	indegree	TCGA-ACC
-20.2372992401209	1.99363261320691	TCGA-OR-A5LR-01A-11R-A29S-07	indegree	TCGA-ACC
-20.1798507969631	1.14363320964445	TCGA-OR-A5L5-01A-11R-A29S-07	indegree	TCGA-ACC
-19.9726845384073	1.39416449563707	TCGA-OR-A5JL-01A-11R-A29S-07	indegree	TCGA-ACC
1.34710951704901	-43.759528289189	TCGA-OR-A5KU-01A-11R-A29S-07	indegree	TCGA-ACC
-18.7305419501487	1.16975285871041	TCGA-OR-A5JW-01A-11R-A29S-07	indegree	TCGA-ACC
1.34786612425957	-42.8217970735406	TCGA-PK-A5HB-01A-11R-A29S-07	indegree	TCGA-ACC
2.52793874781589	-42.5163170093304	TCGA-OR-A5JJ-01A-11R-A29S-07	indegree	TCGA-ACC
1.78950092744771	-43.186960324635	TCGA-OR-A5K6-01A-11R-A29S-07	indegree	TCGA-ACC
0.173299521562523	-44.0829862974407	TCGA-OR-A5L4-01A-11R-A29S-07	indegree	TCGA-ACC
2.75816253463842	-43.292447655186	TCGA-OR-A5J5-01A-11R-A29S-07	indegree	TCGA-ACC
-20.3239275694077	1.8000693549287	TCGA-PA-A5YG-01A-11R-A29S-07	indegree	TCGA-ACC
1.83845446335812	-43.0173559748985	TCGA-OR-A5JS-01A-11R-A29S-07	indegree	TCGA-ACC
-9.7635082417019	31.7940963022519	TCGA-DK-A2I1-01A-11R-A180-07	indegree	TCGA-BLCA
2.53565651188808	-23.4635405738343	TCGA-XF-A9T2-01A-11R-A42T-07	indegree	TCGA-BLCA
-11.0268491684522	30.7371732020303	TCGA-FD-A3SS-01A-12R-A22U-07	indegree	TCGA-BLCA
-12.5683764335912	29.2676293573584	TCGA-BT-A3PK-01A-21R-A220-07	indegree	TCGA-BLCA
-14.7132812587032	6.02397893701804	TCGA-FD-A5BX-01A-11R-A26T-07	indegree	TCGA-BLCA
-4.21322321200413	29.9954667519159	TCGA-DK-AA6P-01A-11R-A39I-07	indegree	TCGA-BLCA
-6.92170624678037	30.2111568224274	TCGA-FD-A62O-01A-11R-A30C-07	indegree	TCGA-BLCA
-6.42229025818512	30.262580514274	TCGA-2F-A9KR-01A-11R-A38B-07	indegree	TCGA-BLCA
