Dim1	Dim2	id	tsne
-9.54394757286946	-3.78728254413244	TCGA-OR-A5L5-01A-11R-A29S-07	indegree
-9.17633909303882	-3.79898776029335	TCGA-OR-A5JL-01A-11R-A29S-07	indegree
-11.9082862479508	-21.7494182255891	TCGA-OR-A5KU-01A-11R-A29S-07	indegree
-8.24552414224885	-4.72458207120177	TCGA-OR-A5JW-01A-11R-A29S-07	indegree
-12.1531278199609	-22.6737852869409	TCGA-PK-A5HB-01A-11R-A29S-07	indegree
-13.4232269521342	-22.7082818827909	TCGA-OR-A5JJ-01A-11R-A29S-07	indegree
-12.5113720329616	-22.2376412539972	TCGA-OR-A5K6-01A-11R-A29S-07	indegree
-10.6498435035522	-21.5084457765122	TCGA-OR-A5L4-01A-11R-A29S-07	indegree
-13.4771846804011	-21.9051755205609	TCGA-OR-A5J5-01A-11R-A29S-07	indegree
-9.1370336368134	-3.32686717934902	TCGA-PA-A5YG-01A-11R-A29S-07	indegree
-12.6068604034193	-22.3833300485841	TCGA-OR-A5JS-01A-11R-A29S-07	indegree
29.2483054663504	9.63350173258822	TCGA-DK-A2I1-01A-11R-A180-07	indegree
-24.568502173983	-16.7987676192881	TCGA-XF-A9T2-01A-11R-A42T-07	indegree
28.7486895619957	8.25309784889366	TCGA-FD-A3SS-01A-12R-A22U-07	indegree
28.5498911874204	6.53379410337405	TCGA-BT-A3PK-01A-21R-A220-07	indegree
16.7587302652075	-3.30254879241588	TCGA-FD-A5BX-01A-11R-A26T-07	indegree
26.7045322809795	13.9366455224491	TCGA-DK-AA6P-01A-11R-A39I-07	indegree
26.8312262721351	12.4154596691361	TCGA-FD-A62O-01A-11R-A30C-07	indegree
26.8270483362442	13.0661899675488	TCGA-2F-A9KR-01A-11R-A38B-07	indegree
30.4821816761491	4.86300578026619	TCGA-ZF-AA53-01A-11R-A39I-07	indegree
30.9540690202939	14.0844036704482	TCGA-KQ-A41O-01A-12R-A352-07	indegree
-17.752741428612	-15.1196415207857	TCGA-E7-A519-01A-11R-A26T-07	indegree
31.0382115269577	6.48762932181941	TCGA-XF-A9T6-01A-11R-A42T-07	indegree
27.5562779425819	16.4115883381787	TCGA-CU-A3YL-01A-11R-A22U-07	indegree
27.0794317529422	-2.88678555406007	TCGA-FD-A3SO-01A-11R-A22U-07	indegree
14.5966707600411	-1.55145619205326	TCGA-K4-A5RH-01A-11R-A30C-07	indegree
-0.588803644800279	-14.8917558218252	TCGA-CU-A3KJ-01A-11R-A21D-07	indegree
20.6284055065694	-9.74385220193987	TCGA-C4-A0F7-01A-11R-A084-07	indegree
-5.90510671451852	4.98826253330056	TCGA-XF-AAN3-01A-11R-A42T-07	indegree
25.1907591704534	11.4817205559897	TCGA-DK-A6B1-01A-12R-A30C-07	indegree
14.9440093617494	-3.01912387637244	TCGA-ZF-AA54-01A-11R-A39I-07	indegree
25.3917975196991	10.7578518410662	TCGA-E7-A3X6-01A-12R-A22U-07	indegree
-4.77710581782376	4.50748671733784	TCGA-K4-AAQO-01A-11R-A38B-07	indegree
28.2048883590865	14.0144549554501	TCGA-ZF-A9R2-01A-11R-A39I-07	indegree
32.2214689827503	12.0802096755446	TCGA-XF-A8HF-01A-11R-A36F-07	indegree
28.0192944353674	1.72495181124611	TCGA-XF-AAN2-01A-11R-A42T-07	indegree
32.1579409706042	13.4160965992047	TCGA-KQ-A41N-01A-11R-A33J-07	indegree
30.7788494960216	10.6979518403506	TCGA-YC-A89H-01A-11R-A36F-07	indegree
31.2437840612372	6.33786912641845	TCGA-UY-A8OB-01A-12R-A42T-07	indegree
26.1575126526595	-10.7239344198817	TCGA-DK-AA6Q-01A-11R-A39I-07	indegree
26.1093725367208	-3.96333816066675	TCGA-FD-A3B5-01A-11R-A20F-07	indegree
9.50553035949804	-18.5093629609989	TCGA-DK-A1A5-01A-11R-A13Y-07	indegree
30.5651984641973	5.22060687348836	TCGA-DK-AA6M-01A-11R-A39I-07	indegree
-4.76109499569652	-4.41913298996564	TCGA-FD-A43S-01A-21R-A23W-07	indegree
-18.5514353308562	-14.7524016356294	TCGA-S5-A6DX-01A-11R-A31N-07	indegree
27.6513552964481	9.20879029960515	TCGA-E7-A541-01A-11R-A26T-07	indegree
26.6604507084775	8.73269589985183	TCGA-GU-AATP-01A-11R-A39I-07	indegree
28.4498904014113	9.76193216573251	TCGA-ZF-AA51-01A-21R-A39I-07	indegree
20.7387316145477	-10.5354857092556	TCGA-GU-A42Q-01A-11R-A23W-07	indegree
30.7300704669305	16.5532244464461	TCGA-CF-A8HY-01A-11R-A36F-07	indegree
26.3871697927345	8.76258305822489	TCGA-ZF-A9RC-01A-11R-A38B-07	indegree
-5.01405764657265	5.19975065351032	TCGA-FD-A3SR-01A-11R-A22U-07	indegree
32.5946005592428	11.4104684000792	TCGA-GC-A6I3-01A-11R-A31N-07	indegree
26.3201246516497	7.38710419836038	TCGA-GU-AATO-01A-11R-A39I-07	indegree
33.9886521159549	6.00381070139837	TCGA-4Z-AA7W-01A-11R-A39I-07	indegree
30.5204013695209	12.6493829839121	TCGA-DK-A3IS-01A-21R-A21D-07	indegree
2.19443287106521	5.91415019581183	TCGA-XF-AAN8-01A-11R-A42T-07	indegree
30.2327686681179	12.222287841915	TCGA-DK-A6AV-01A-12R-A30C-07	indegree
30.4220592131087	13.6343268117654	TCGA-GV-A40G-01A-11R-A23N-07	indegree
30.3947336796275	4.97777577954822	TCGA-FD-A6TD-01A-51R-A33J-07	indegree
28.0155845492357	13.6983357691262	TCGA-ZF-A9R4-01A-11R-A38B-07	indegree
29.0254920212003	13.8366246607907	TCGA-CF-A3MG-01A-11R-A20F-07	indegree
-5.08541335775113	4.99794177307936	TCGA-R3-A69X-01A-22R-A30C-07	indegree
26.0396864968278	8.10514391205863	TCGA-XF-A9SP-01A-11R-A39I-07	indegree
28.7528631579079	8.62765035401198	TCGA-FD-A3SN-01A-12R-A22U-07	indegree
26.9156819636654	12.4664763827325	TCGA-2F-A9KT-01A-11R-A38B-07	indegree
29.4768749361326	16.322857173331	TCGA-CF-A5U8-01A-11R-A28M-07	indegree
29.9400679386677	12.3622702165228	TCGA-GC-A3RD-01A-12R-A22U-07	indegree
29.3649041558741	16.295828718682	TCGA-FD-A43X-01A-11R-A23W-07	indegree
2.56705517456243	-23.9101478435866	TCGA-DK-A1AB-01A-11R-A13Y-07	indegree
26.7621262103011	12.1406381746245	TCGA-ZF-A9R1-01A-11R-A39I-07	indegree
26.5247449403916	14.9282693856398	TCGA-4Z-AA89-01A-11R-A39I-07	indegree
1.83657339743032	6.73856162686137	TCGA-XF-A9SW-01A-11R-A42T-07	indegree
28.3565313430944	8.90454659031501	TCGA-FD-A6TC-01A-21R-A33J-07	indegree
0.0953428575248958	4.20587048522676	TCGA-BT-A20O-01A-21R-A14Y-07	indegree
32.2691350421235	2.80209025836856	TCGA-FD-A5BY-01A-31R-A28M-07	indegree
-7.72551334796071	4.57787404301304	TCGA-YC-A8S6-01A-31R-A38B-07	indegree
31.9437296687942	13.8808212753454	TCGA-DK-AA75-01A-11R-A39I-07	indegree
25.3464142685485	7.52043535384684	TCGA-FD-A43U-01A-11R-A23W-07	indegree
30.7947994289648	4.87661292712439	TCGA-FD-A5C1-01A-11R-A28M-07	indegree
27.8143399287838	12.8976029101764	TCGA-UY-A78N-01A-12R-A33J-07	indegree
25.1056567278795	14.3572856773107	TCGA-HQ-A2OE-01A-11R-A206-07	indegree
29.2203108787197	3.78047026975722	TCGA-ZF-A9RF-01A-11R-A38B-07	indegree
28.910709659377	15.798293798304	TCGA-CF-A3MH-01A-11R-A20F-07	indegree
30.0633414484758	12.0628517853512	TCGA-DK-A1A6-01A-11R-A13Y-07	indegree
26.0580361078024	13.1164900023389	TCGA-GC-A3RB-01A-12R-A220-07	indegree
9.72829743779046	-9.11896163613968	TCGA-GD-A3OS-01A-12R-A220-07	indegree
-4.6010537188042	5.23769985991826	TCGA-DK-A2HX-01A-12R-A18C-07	indegree
31.3753089144534	4.29030993131899	TCGA-BT-A42F-01A-11R-A23W-07	indegree
-6.10488901010888	-7.75841751069848	TCGA-DK-A1AC-01A-11R-A13Y-07	indegree
-4.72517212507843	4.19029819907167	TCGA-G2-A2EC-01A-11R-A180-07	indegree
28.5993118448001	16.5012828752817	TCGA-CF-A8HX-01A-11R-A36F-07	indegree
27.9686175425191	15.4800783758149	TCGA-XF-A9SH-01A-11R-A39I-07	indegree
-12.4019285867592	-4.20110588309782	TCGA-BL-A13J-01B-04R-A277-07	indegree
28.5544918916725	11.9853122843696	TCGA-GC-A4ZW-01A-11R-A26T-07	indegree
27.6628687980017	9.38911022356559	TCGA-UY-A9PH-01A-11R-A38B-07	indegree
26.8056588224447	9.9183186830837	TCGA-2F-A9KW-01A-11R-A38B-07	indegree
27.0920394354816	-2.30320237437387	TCGA-G2-A2ES-01A-11R-A180-07	indegree
26.739204256525	-2.25338193008994	TCGA-XF-A8HE-01A-11R-A36F-07	indegree
26.209223629304	14.847757267261	TCGA-ZF-A9RL-01A-11R-A38B-07	indegree
33.7744104330234	-4.50712948228102	TCGA-E7-A7XN-01A-11R-A352-07	indegree
5.37014567329008	-15.678369621516	TCGA-K4-A6FZ-01A-11R-A31N-07	indegree
23.4727003292595	-15.1503865157907	TCGA-K4-A3WV-01A-11R-A22U-07	indegree
25.3407310891896	9.65855751509922	TCGA-FD-A6TG-01A-11R-A32O-07	indegree
25.2332279369208	9.54693726098429	TCGA-FD-A5BZ-01A-11R-A28M-07	indegree
-4.80085223535511	4.28941358595198	TCGA-BT-A20Q-01A-11R-A14Y-07	indegree
22.7910201829177	-7.68459275285862	TCGA-BT-A20U-01A-11R-A14Y-07	indegree
26.8021659391973	10.9686641180219	TCGA-XF-A9SV-01A-21R-A42T-07	indegree
30.206766915769	5.39598550914407	TCGA-XF-A9SX-01A-21R-A39I-07	indegree
25.3496836426814	11.5015365978968	TCGA-GV-A3QK-01B-11R-A23N-07	indegree
0.800633780119299	-12.2669279972391	TCGA-DK-AA6X-01A-12R-A42T-07	indegree
28.6854690159819	11.1155997530238	TCGA-K4-A6MB-01A-11R-A31N-07	indegree
31.3875263952553	15.4404233929931	TCGA-GU-A763-01A-11R-A32O-07	indegree
27.1359910145999	15.8775082228662	TCGA-CF-A47Y-01A-11R-A23W-07	indegree
2.05728758968024	-25.5802467950745	TCGA-FD-A3B8-01A-31R-A20F-07	indegree
30.0798833958483	5.27504401971163	TCGA-FD-A62N-01A-11R-A30C-07	indegree
-8.68826147581378	-8.91706727462177	TCGA-G2-A2EJ-01A-11R-A180-07	indegree
29.0445260507378	-3.09850443323354	TCGA-DK-A3IM-01A-11R-A20F-07	indegree
0.701316347311925	-12.3686491753914	TCGA-2F-A9KO-01A-11R-A38B-07	indegree
-4.97554648924053	4.95829054469306	TCGA-K4-A3WS-01A-11R-A22U-07	indegree
26.9141736100545	10.5145862423777	TCGA-FD-A5C0-01A-11R-A28M-07	indegree
0.412074967118069	-13.9213768822273	TCGA-E7-A97P-01A-11R-A38B-07	indegree
28.9024098973081	15.8131989759815	TCGA-XF-AAN1-01A-31R-A42T-07	indegree
-4.16290034950406	4.60267410296749	TCGA-DK-A3IQ-01A-31R-A32Y-07	indegree
-5.50166071886497	5.18391303298607	TCGA-FD-A6TB-01A-12R-A33J-07	indegree
12.4615620513139	6.93711260994149	TCGA-XF-A9T4-01A-11R-A39I-07	indegree
26.7361528972457	9.86834777960383	TCGA-CU-A0YR-01A-12R-A10U-07	indegree
27.9151737239196	14.6147007049854	TCGA-CF-A27C-01A-11R-A16R-07	indegree
29.6769325754076	9.47985315346622	TCGA-XF-A9SZ-01A-11R-A39I-07	indegree
26.7488158316234	13.867715028491	TCGA-G2-A3VY-01A-11R-A22U-07	indegree
12.2899963381919	7.00628065258165	TCGA-ZF-AA56-01A-31R-A39I-07	indegree
4.4312518107404	-1.33471579050271	TCGA-CF-A9FL-01A-11R-A38B-07	indegree
23.2959730252588	-4.20927441251074	TCGA-BT-A20V-01A-11R-A14Y-07	indegree
28.7274522588667	16.1846694437365	TCGA-S5-AA26-01A-11R-A38B-07	indegree
1.53944072537751	-6.83517198962905	TCGA-H4-A2HO-01A-11R-A180-07	indegree
26.8160471023426	6.18588717781979	TCGA-DK-AA6S-01A-21R-A39I-07	indegree
26.5306506403237	12.2048559617214	TCGA-C4-A0F6-01A-11R-A10U-07	indegree
32.0340264863549	12.7755879481519	TCGA-UY-A9PE-01A-11R-A38B-07	indegree
29.8665949691387	16.5062209592781	TCGA-DK-A6B0-01A-11R-A31N-07	indegree
28.9577763841851	15.8806567955045	TCGA-BT-A20P-01A-11R-A14Y-07	indegree
26.4181774635757	11.9898267848423	TCGA-FT-A3EE-01A-11R-A206-07	indegree
31.7816850665231	14.4268360428338	TCGA-CF-A47T-01A-11R-A23W-07	indegree
27.0474441043242	11.350200579765	TCGA-XF-AAMG-01A-11R-A42T-07	indegree
28.3881752833216	13.2559720316412	TCGA-4Z-AA80-01A-11R-A39I-07	indegree
-5.27623516064148	5.07366871275969	TCGA-FD-A6TA-01A-12R-A33J-07	indegree
-12.409309547044	-4.20606871042364	TCGA-BL-A0C8-01B-04R-A277-07	indegree
29.734199580432	15.2087780492245	TCGA-ZF-A9R0-01A-11R-A38B-07	indegree
19.9613512510039	-3.9216050216928	TCGA-ZF-A9RN-01A-11R-A42T-07	indegree
28.0778669501907	15.639195221815	TCGA-4Z-AA83-01A-11R-A39I-07	indegree
11.1329592880401	6.05266752161036	TCGA-DK-A1A3-01A-11R-A13Y-07	indegree
30.8494523264037	11.5665231445273	TCGA-DK-AA71-01A-31R-A39I-07	indegree
28.7364307065029	9.23618601993398	TCGA-FD-A3NA-01A-11R-A21D-07	indegree
29.2363340580452	15.7404579484396	TCGA-FJ-A3Z9-01A-11R-A26T-07	indegree
27.640795950511	11.7459366116731	TCGA-4Z-AA7R-01A-11R-A39I-07	indegree
36.2398215502964	-6.4721109740487	TCGA-ZF-AA4W-01A-12R-A38B-07	indegree
-4.74178514785998	5.05698264705626	TCGA-GC-A3OO-01A-11R-A22U-07	indegree
29.0207731830028	15.9624337161139	TCGA-E7-A7DU-01A-11R-A32O-07	indegree
20.3334304290766	-9.73303944303803	TCGA-DK-A1AE-01A-11R-A13Y-07	indegree
14.3651420069724	-11.9897497665908	TCGA-BT-A0YX-01A-11R-A10U-07	indegree
27.5644138003527	13.6431501355284	TCGA-GV-A3JW-01A-11R-A20F-07	indegree
-5.85425207401347	-10.6165053041884	TCGA-DK-A1AD-01A-11R-A13Y-07	indegree
8.57475815872494	-8.21904644105212	TCGA-G2-A2EL-01A-12R-A18C-07	indegree
6.55455581316953	-10.5565695230403	TCGA-C4-A0EZ-01A-21R-A24X-07	indegree
27.8402359788733	-3.66257933557577	TCGA-FD-A3N5-01A-11R-A21D-07	indegree
26.1157827783805	11.0154578317757	TCGA-FD-A3SJ-01A-12R-A22U-07	indegree
26.4024628363603	11.6196650170659	TCGA-4Z-AA84-01A-11R-A39I-07	indegree
26.59685380523	13.4412325787601	TCGA-H4-A2HQ-01A-11R-A180-07	indegree
27.9146270999503	9.08263920423229	TCGA-K4-A54R-01A-11R-A26T-07	indegree
25.7855137433464	-2.19643198997457	TCGA-DK-A2I2-01A-11R-A180-07	indegree
31.2135489606735	13.5709181239737	TCGA-GV-A6ZA-01A-12R-A33J-07	indegree
31.9780891838222	13.9635519800642	TCGA-KQ-A41R-01A-21R-A352-07	indegree
26.0992005623673	7.62232946931741	TCGA-ZF-AA52-01A-12R-A39I-07	indegree
-4.56455083936694	5.36699363451252	TCGA-FD-A3SL-01A-21R-A22U-07	indegree
29.7373544662406	16.3892535659583	TCGA-CF-A47S-01A-11R-A23W-07	indegree
29.8349130239558	16.5400645793689	TCGA-E7-A678-01A-11R-A30C-07	indegree
29.5434875231948	4.48532947570482	TCGA-XF-A9SM-01A-11R-A42T-07	indegree
-8.79853094339667	-8.72588752295488	TCGA-C4-A0F1-01A-11R-A034-07	indegree
31.9271547094203	14.5899863054216	TCGA-E5-A4U1-01A-11R-A31N-07	indegree
30.4640594019039	13.825122522869	TCGA-E7-A5KE-01A-11R-A28M-07	indegree
27.4251167488152	-3.00257007565818	TCGA-FD-A3B4-01A-12R-A206-07	indegree
28.8272134189879	9.01508424462933	TCGA-FD-A62P-01A-32R-A30C-07	indegree
22.5421436633376	7.33085435413076	TCGA-DK-AA74-01A-11R-A39I-07	indegree
35.8617408991423	-5.32847908507927	TCGA-K4-A4AC-01A-21R-A26T-07	indegree
29.2068178792435	15.9833504176178	TCGA-E7-A4XJ-01A-11R-A26T-07	indegree
