cancer	pval	type	m	k	datatype
KIRP	0.2776704330436	OS	run without warning	k_2	expression
KIRP	0.0312881702663051	PFI	run without warning	k_3	indegree
KIRP	0.169222634002359	OS	run without warning	k_3	indegree
KIRP	0.168140388934933	PFI	run without warning	k_2	indegree
KIRP	0.318994708112946	OS	run without warning	k_2	indegree
LAML	0.0217195085543078	OS	run without warning	k_3	expression
LAML	0.0126602304388889	OS	run without warning	k_4	indegree
LAML	0.101201781578467	OS	run without warning	k_3	indegree
LAML	0.864350685642982	OS	run without warning	k_2	indegree
LGG	9.68883566879762e-10	PFI	run without warning	k_5	expression
LGG	5.08218841937319e-12	OS	run without warning	k_5	expression
LGG	3.8461688997571e-10	PFI	run without warning	k_4	expression
LGG	7.17447142955541e-13	OS	run without warning	k_4	expression
LGG	6.77280230138454e-09	PFI	run without warning	k_3	expression
LGG	2.17108431583607e-10	OS	run without warning	k_3	expression
LGG	4.96771560706594e-07	PFI	run without warning	k_2	expression
LGG	4.70676315267448e-06	OS	run without warning	k_2	expression
LGG	0.0863185162980791	PFI	run without warning	k_4	indegree
LGG	0.276886729145326	OS	run without warning	k_4	indegree
LGG	0.62494209710044	PFI	run without warning	k_3	indegree
LGG	0.97448506549696	OS	run without warning	k_3	indegree
LGG	0.192170350563626	PFI	run without warning	k_2	indegree
LGG	0.519058727048873	OS	run without warning	k_2	indegree
LIHC	0.17501103592004	PFI	run without warning	k_3	expression
LIHC	0.00698727236260619	OS	run without warning	k_3	expression
LIHC	0.565918110307037	PFI	run without warning	k_2	expression
LIHC	0.731052005356957	OS	run without warning	k_2	expression
LIHC	0.834817692100956	PFI	run without warning	k_5	indegree
LIHC	0.29230835389432	OS	run without warning	k_5	indegree
LIHC	0.821459842000682	PFI	run without warning	k_3	indegree
LIHC	0.213445687473948	OS	run without warning	k_3	indegree
LIHC	0.0471519868825618	PFI	run without warning	k_2	indegree
LIHC	0.0130964528701121	OS	run without warning	k_2	indegree
LUAD	0.0101526922737101	PFI	run without warning	k_4	expression
LUAD	0.000130350434509069	OS	run without warning	k_4	expression
LUAD	0.138213061424991	PFI	run without warning	k_2	expression
LUAD	0.0781057638744099	OS	run without warning	k_2	expression
LUAD	0.657331038503056	PFI	run without warning	k_4	indegree
LUAD	0.0213576687981585	OS	run without warning	k_4	indegree
LUAD	0.410640665992819	PFI	run without warning	k_3	indegree
LUAD	0.00245999378347716	OS	run without warning	k_3	indegree
LUAD	0.230020317292187	PFI	run without warning	k_2	indegree
LUAD	0.0412093463885032	OS	run without warning	k_2	indegree
LUSC	0.224374835477017	PFI	run without warning	k_2	expression
LUSC	0.0962938231300131	OS	run without warning	k_2	expression
LUSC	0.471868543305949	PFI	run without warning	k_3	indegree
LUSC	0.734593854693305	OS	run without warning	k_3	indegree
LUSC	0.270418570103434	PFI	run without warning	k_2	indegree
LUSC	0.393293437322469	OS	run without warning	k_2	indegree
MESO	0.773868319194374	PFI	run without warning	k_2	expression
MESO	0.629551807293104	OS	run without warning	k_2	expression
MESO	0.51938139513893	PFI	run without warning	k_3	indegree
