cancer	feature	pvalue	hr	hr_lower	hr_upper	type	m	component
LUSC	PC1	0.740329631746598	0.999637596669238	0.9975	1.0018	OS	run without warning	PC1
LUSC	PC1	0.537234705440145	1.00080906235884	0.99824	1.0034	PFI	run without warning	PC1
LUSC	PC2	0.2193554403393	1.00216595901004	0.99871	1.0056	OS	run without warning	PC2
LUSC	PC2	0.631599703135721	1.00103716935085	0.9968	1.0053	PFI	run without warning	PC2
MESO	PC1	0.618573950229931	1.00095347001779	0.99721	1.0047	OS	run without warning	PC1
MESO	PC1	0.634408697860479	1.00100849865981	0.99686	1.0052	PFI	run without warning	PC1
MESO	PC2	0.59074584295684	1.00178771935161	0.99529	1.0083	OS	run without warning	PC2
MESO	PC2	0.0775840140983715	1.0073499430517	0.99919	1.0156	PFI	run without warning	PC2
OV	PC1	0.284775325667527	1.00093445750303	0.99922	1.0026	OS	run without warning	PC1
OV	PC1	0.419677660811115	1.00063905519252	0.99909	1.0022	PFI	run without warning	PC1
OV	PC2	0.0177147919025389	1.00487018526405	1.0008	1.0089	OS	run without warning	PC2
OV	PC2	0.481520862061535	1.0013617390825	0.99757	1.0052	PFI	run without warning	PC2
PAAD	PC1	0.503384355218223	0.999020059911144	0.99616	1.0019	OS	run without warning	PC1
PAAD	PC1	0.661220743164374	0.999369541183276	0.99655	1.0022	PFI	run without warning	PC1
PAAD	PC2	0.328315625173344	1.0021729075365	0.99782	1.0065	OS	run without warning	PC2
PAAD	PC2	0.669542951630814	1.00086466497284	0.9969	1.0048	PFI	run without warning	PC2
PCPG	PC1	0.711098075504123	1.00279061103879	0.98811	1.0177	OS	run without warning	PC1
PCPG	PC1	0.583724684596405	0.997635607872155	0.98922	1.0061	PFI	run without warning	PC1
PCPG	PC2	0.463138246192465	0.992364468492492	0.97225	1.0129	OS	run without warning	PC2
PCPG	PC2	0.524762982356405	1.00387790088274	0.99198	1.0159	PFI	run without warning	PC2
PRAD	PC1	0.0329131822468618	0.989271579824269	0.97952	0.99912	OS	run without warning	PC1
PRAD	PC1	0.0287635840060542	0.996249154306435	0.9929	0.99961	PFI	run without warning	PC1
PRAD	PC2	0.368349717285925	0.99343711203834	0.97929	1.0078	OS	run without warning	PC2
PRAD	PC2	0.191030471763105	1.00330364681478	0.99836	1.0083	PFI	run without warning	PC2
READ	PC1	0.0728897970434055	0.993648830719995	0.98675	1.0006	OS	run without warning	PC1
READ	PC1	0.324481478961748	0.99702311565588	0.99113	1.003	PFI	run without warning	PC1
READ	PC2	0.0391309414071571	1.00995680273153	1.0005	1.0195	OS	run without warning	PC2
READ	PC2	0.542258953696091	1.00229082068516	0.99494	1.0097	PFI	run without warning	PC2
SARC	PC1	0.267995481236415	0.998338401658235	0.99541	1.0013	OS	run without warning	PC1
SARC	PC1	0.457215880239615	0.99904482965163	0.99653	1.0016	PFI	run without warning	PC1
SARC	PC2	0.04415744864596	0.993978642953158	0.98815	0.99984	OS	run without warning	PC2
SARC	PC2	0.229572275348262	0.997249213355657	0.99278	1.0017	PFI	run without warning	PC2
SKCM	PC1	0.0457873211462613	0.994405435403156	0.98895	0.99989	OS	run without warning	PC1
SKCM	PC1	0.0254542693913039	0.994717890337358	0.99011	0.99935	PFI	run without warning	PC1
SKCM	PC2	0.327721809933881	0.995508029032015	0.98657	1.0045	OS	run without warning	PC2
SKCM	PC2	0.0101110260227925	0.989188551713893	0.98103	0.99742	PFI	run without warning	PC2
STAD	PC1	0.0181160295002211	0.996892519122018	0.99432	0.99947	OS	run without warning	PC1
STAD	PC1	0.213352612022029	0.998230086730608	0.99545	1.001	PFI	run without warning	PC1
STAD	PC2	0.423199527926185	0.998349821269551	0.99432	1.0024	OS	run without warning	PC2
STAD	PC2	0.703740587468515	0.999123358290615	0.99462	1.0036	PFI	run without warning	PC2
TGCT	PC1	0.0921656547735208	1.01126387165925	0.99817	1.0245	OS	run without warning	PC1
TGCT	PC1	0.903603471601598	1.0002685949227	0.99593	1.0046	PFI	run without warning	PC1
TGCT	PC2	0.382820124591876	0.987795536002583	0.96093	1.0154	OS	run without warning	PC2
TGCT	PC2	0.214489956567337	0.994663754433261	0.9863	1.0031	PFI	run without warning	PC2
THCA	PC1	0.0416927290115402	1.00842757016719	1.0003	1.0166	OS	run without warning	PC1
THCA	PC1	0.850939363695066	1.00039543662617	0.99628	1.0045	PFI	run without warning	PC1
THCA	PC2	0.594442393642061	0.997285147748711	0.98735	1.0073	OS	run without warning	PC2
THCA	PC2	0.211732466879889	0.996654020658304	0.99143	1.0019	PFI	run without warning	PC2
THYM	PC1	0.228800764193273	0.994137961566599	0.98466	1.0037	OS	run without warning	PC1
THYM	PC1	0.427121663225995	0.997381599302022	0.99095	1.0039	PFI	run without warning	PC1
THYM	PC2	0.00331609774363851	0.973414114964243	0.95607	0.99108	OS	run without warning	PC2
THYM	PC2	0.348409484864729	0.995089018117164	0.9849	1.0054	PFI	run without warning	PC2
UCEC	PC1	0.817464705963395	0.999548557253482	0.99572	1.0034	OS	run without warning	PC1
UCEC	PC1	0.852640531696056	1.00030494680934	0.99709	1.0035	PFI	run without warning	PC1
UCEC	PC2	0.00761277526601443	0.993601114678254	0.98893	0.9983	OS	run without warning	PC2
UCEC	PC2	0.00881106446830738	0.994685349432932	0.99073	0.99866	PFI	run without warning	PC2
UCS	PC1	0.324911226279062	0.997237123091466	0.99176	1.0027	OS	run without warning	PC1
UCS	PC1	0.259912348251247	0.997113551790715	0.99211	1.0021	PFI	run without warning	PC1
UCS	PC2	0.183676138138873	1.00555942274594	0.99737	1.0138	OS	run without warning	PC2
UCS	PC2	0.369737685265209	1.00355264719954	0.99581	1.0114	PFI	run without warning	PC2
UVM	PC1	0.053845890594326	1.0055020320716	0.99991	1.0111	OS	run without warning	PC1
UVM	PC1	0.997193721856513	0.999990124862842	0.9945	1.0055	PFI	run without warning	PC1
UVM	PC2	0.179585419929168	1.00526249735388	0.99759	1.013	OS	run without warning	PC2
UVM	PC2	0.363214346776641	1.00276676242428	0.99681	1.0088	PFI	run without warning	PC2
