class	entropy	silhouette	k	cancer	ID
2	0	0.982511380390376	k_2	UVM	TCGA-V4-A9ET-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-V4-A9ES-01A-11R-A405-07
1	0	1	k_2	UVM	TCGA-V4-A9EE-01A-11R-A405-07
1	0	0.993857277795701	k_3	UCS	TCGA-N5-A59F-01A-11R-A28V-07
2	0.0467445656623336	0.988468417720073	k_3	UCS	TCGA-NG-A4VW-01A-11R-A28V-07
2	0	0.989565308133315	k_3	UCS	TCGA-N8-A56S-01A-11R-A28V-07
1	0.0783915198444809	0.989579277142704	k_3	UCS	TCGA-N7-A4Y8-01A-11R-A28V-07
2	0	0.989565308133315	k_3	UCS	TCGA-NA-A4R1-01A-11R-A28V-07
1	0.0746705435330021	0.989838079819093	k_3	UCS	TCGA-N5-A4RM-01A-11R-A28V-07
2	0.0783915198444809	0.982916163488221	k_3	UCS	TCGA-N8-A4PI-01A-21R-A28V-07
2	0.0682249857138017	0.986282750392703	k_3	UCS	TCGA-NF-A4X2-01A-11R-A28V-07
2	0	0.989565308133315	k_3	UCS	TCGA-N8-A4PO-01A-11R-A28V-07
3	0.0892390466509242	0.993558894354648	k_3	UCS	TCGA-NA-A4QW-01A-11R-A28V-07
3	0.0892390466509242	0.993558894354648	k_3	UCS	TCGA-NA-A4QX-01A-11R-A28V-07
2	0	0.989565308133315	k_3	UCS	TCGA-N8-A4PL-01A-11R-A28V-07
2	0.0467445656623336	0.988468417720073	k_3	UCS	TCGA-NF-A4WU-01A-11R-A28V-07
2	0	0.989565308133315	k_3	UCS	TCGA-ND-A4WA-01A-12R-A28V-07
2	0	0.989565308133315	k_3	UCS	TCGA-NF-A4WX-01A-11R-A28V-07
1	0.0237370665269117	0.993065596819636	k_3	UCS	TCGA-QM-A5NM-01A-11R-A28V-07
2	0	0.989565308133315	k_3	UCS	TCGA-N5-A4RT-01A-11R-A28V-07
2	0	0.989565308133315	k_3	UCS	TCGA-N6-A4V9-01A-11R-A28V-07
2	0	0.989565308133315	k_3	UCS	TCGA-N5-A4RU-01A-31R-A28V-07
3	0.0551129253067951	0.995392793366387	k_3	UCS	TCGA-N7-A4Y5-01A-12R-A28V-07
2	0.0467445656623336	0.988468417720073	k_3	UCS	TCGA-NF-A5CP-01A-12R-A28V-07
