cancer	edges	coefficients	type
ACC	KLF13_CD274	-0.0527923512645096	PFI
ACC	KLF3_CD274	-0.0139790751005575	PFI
ACC	NFYB_CD274	-0.0608063742175396	PFI
ACC	PKNOX2_CD274	0.00737818636114581	PFI
ACC	SMAD4_CD274	0.0498856820425585	PFI
ACC	SOX13_CD274	0.00498398782957772	PFI
ACC	SOX3_CD274	0.0242116768751959	PFI
ACC	STAT1_CD274	0.0165041186584368	PFI
ACC	STAT5A_CD274	0.0333239230965854	PFI
ACC	STAT6_CD274	0.0199842813441558	PFI
ACC	TEAD1_CD274	0.0118184702363969	PFI
ACC	TGIF1_CD274	0.00972368401410763	PFI
ACC	TGIF2_CD274	0.0070362697594834	PFI
ACC	TGIF2LY_CD274	0.0377587056891988	PFI
ACC	ZNF667_CD274	0.0802527941243464	PFI
ACC	ZNF680_CD274	0.0027454951537322	PFI
ACC	CREB3L4_CD274	-0.00150067294905224	PFI
ACC	HES2_CD274	-0.00343366664364695	PFI
ACC	KLF13_CD274	-0.0303104962474322	PFI
ACC	KLF3_CD274	-0.000389528569448393	PFI
ACC	MYF6_CD274	0.00956948557762365	PFI
ACC	NFYB_CD274	-0.0293548188272201	PFI
ACC	PKNOX2_CD274	0.00326518398986195	PFI
ACC	SMAD4_CD274	0.0138361776492959	PFI
ACC	SOX13_CD274	0.00980840765200738	PFI
ACC	SOX3_CD274	0.0241039079848218	PFI
ACC	STAT1_CD274	0.0105946514258851	PFI
ACC	STAT5A_CD274	0.0242916616074459	PFI
ACC	STAT6_CD274	0.0198687455920809	PFI
ACC	TGIF1_CD274	0.00576195919255941	PFI
ACC	TGIF2_CD274	0.00371815456593549	PFI
ACC	ZNF667_CD274	0.0662510487799782	PFI
ACC	CREB3L4_CD274	-0.00722519324249153	PFI
ACC	DLX1_CD274	0.00553195233177428	PFI
ACC	GSC2_CD274	0.00724289347814474	PFI
ACC	HES1_CD274	-0.00490414766786713	PFI
ACC	HES2_CD274	-0.0105675139754201	PFI
ACC	HEY2_CD274	-0.00654816722530223	PFI
ACC	KLF13_CD274	-0.0476858179732208	PFI
ACC	KLF3_CD274	-0.0114665140105648	PFI
ACC	NFYB_CD274	-0.0535470118145675	PFI
ACC	PKNOX2_CD274	0.0069219996783465	PFI
ACC	SMAD4_CD274	0.042423054857169	PFI
ACC	SOX13_CD274	0.00705104950449817	PFI
ACC	SOX3_CD274	0.0250153272253225	PFI
ACC	STAT1_CD274	0.0155810358173296	PFI
ACC	STAT5A_CD274	0.0315754061455272	PFI
ACC	STAT6_CD274	0.0210196313583962	PFI
ACC	TEAD1_CD274	0.00850686394192409	PFI
ACC	TGIF1_CD274	0.00955047788379841	PFI
ACC	TGIF2_CD274	0.00697241495396203	PFI
ACC	TGIF2LY_CD274	0.025868870649263	PFI
ACC	ZNF667_CD274	0.0778938296586404	PFI
ACC	ZNF680_CD274	0.00096933984361087	PFI
ACC	CREB3L4_CD274	-0.00790049250653413	PFI
ACC	DLX1_CD274	0.00688151169329075	PFI
ACC	GSC2_CD274	0.00862445710523718	PFI
ACC	HES1_CD274	-0.00569409318192355	PFI
ACC	HES2_CD274	-0.0109540157336669	PFI
ACC	HEY2_CD274	-0.00898721253457189	PFI
ACC	KLF13_CD274	-0.0502329136543535	PFI
ACC	KLF3_CD274	-0.012746927092909	PFI
ACC	NFYB_CD274	-0.0571833024121789	PFI
ACC	PKNOX2_CD274	0.00717425944851189	PFI
ACC	SMAD4_CD274	0.0462070648236106	PFI
ACC	SOX13_CD274	0.00604560563846988	PFI
ACC	SOX3_CD274	0.0246308993284487	PFI
ACC	STAT1_CD274	0.0160645953923893	PFI
ACC	STAT5A_CD274	0.0324574756591545	PFI
ACC	STAT6_CD274	0.0205469972901305	PFI
ACC	TEAD1_CD274	0.0101555094870668	PFI
ACC	TGIF1_CD274	0.00968156626509728	PFI
ACC	TGIF2_CD274	0.00703968622010189	PFI
ACC	TGIF2LY_CD274	0.0317707643211466	PFI
ACC	ZNF667_CD274	0.0791027090617908	PFI
ACC	ZNF680_CD274	0.00183478801746567	PFI
ACC	CREB3L4_CD274	-0.00370020594729069	PFI
ACC	HES1_CD274	-0.000653434301897898	PFI
ACC	HES2_CD274	-0.0068475116629572	PFI
ACC	KLF13_CD274	-0.0362394322292679	PFI
ACC	KLF3_CD274	-0.00526560907316528	PFI
ACC	MYF6_CD274	0.00801659659038392	PFI
ACC	NFYB_CD274	-0.038183925019851	PFI
ACC	PKNOX2_CD274	0.00518033320772152	PFI
ACC	SMAD4_CD274	0.0244448105273453	PFI
ACC	SOX13_CD274	0.00931229349717501	PFI
ACC	SOX3_CD274	0.0247758583002077	PFI
ACC	STAT1_CD274	0.0126495512699019	PFI
ACC	STAT5A_CD274	0.027118316132682	PFI
ACC	STAT6_CD274	0.0209625252795073	PFI
ACC	TEAD1_CD274	0.00104373855897894	PFI
ACC	TGIF1_CD274	0.00817001729000327	PFI
ACC	TGIF2_CD274	0.00580226376135206	PFI
ACC	TGIF2LY_CD274	0.00347822971513771	PFI
ACC	ZNF667_CD274	0.0717087208368725	PFI
ACC	CREB3L4_CD274	-0.00592981234367576	PFI
ACC	DLX1_CD274	0.00225771584083954	PFI
ACC	GSC2_CD274	0.00369123555865934	PFI
ACC	HES1_CD274	-0.00308292143340684	PFI
ACC	HES2_CD274	-0.00912734625486001	PFI
ACC	HEY2_CD274	-0.00111416068084511	PFI
ACC	KLF13_CD274	-0.0421010336988836	PFI
ACC	KLF3_CD274	-0.00856201956979722	PFI
ACC	MYF6_CD274	0.00449062255689661	PFI
ACC	NFYB_CD274	-0.0459524362128865	PFI
ACC	PKNOX2_CD274	0.00617368776468345	PFI
ACC	SMAD4_CD274	0.0335635967483678	PFI
ACC	SOX13_CD274	0.00841699541469544	PFI
ACC	SOX3_CD274	0.0252759025045885	PFI
ACC	STAT1_CD274	0.0143839327664859	PFI
ACC	STAT5A_CD274	0.0296490623231607	PFI
ACC	STAT6_CD274	0.0213681220294219	PFI
ACC	TEAD1_CD274	0.00476871647150129	PFI
ACC	TGIF1_CD274	0.00895172867272375	PFI
